{{1, 0, 0, 0}, {3, -2, 2, 0}}
{{11, 4, -10, -2}, {9, 4, -8, 0}}
{{11, 4, -10, -2}, {21, 6, -20, -2}}
{{11, 4, -10, -2}, {49, 20, -44, -8}}
{{11, 4, 10, -2}, {9, 4, 8, 0}}
{{11, 4, 10, -2}, {45, 18, 40, -10}}
{{11, 4, 10, -2}, {49, 20, 44, -8}}
{{11, 4, 10, -2}, {61, 22, 56, -10}}
{{13, -10, -8, -2}, {3, -2, -2, 0}}
{{13, -10, -8, -2}, {35, -26, -22, -8}}
{{13, -10, -8, -2}, {51, -40, -30, -10}}
{{13, -10, -8, -2}, {59, -44, -38, -10}}
{{13, -10, 8, -2}, {3, -2, 2, 0}}
{{13, -10, 8, -2}, {19, -16, 10, -2}}
{{13, -10, 8, -2}, {27, -20, 18, -2}}
{{13, -10, 8, -2}, {35, -26, 22, -8}}
{{13, -2, -8, -10}, {19, -2, -10, -16}}
{{13, -2, -8, -10}, {35, -8, -22, -26}}
{{13, -2, -8, -10}, {51, -10, -30, -40}}
{{13, -2, -8, -10}, {75, -12, -46, -58}}
{{13, -2, 8, -10}, {3, 0, 2, -2}}
{{13, -2, 8, -10}, {19, -2, 10, -16}}
{{13, -2, 8, -10}, {43, -4, 26, -34}}
{{13, -2, 8, -10}, {51, -10, 30, -40}}
{{13, 2, -8, -10}, {19, 2, -10, -16}}
{{13, 2, -8, -10}, {35, 8, -22, -26}}
{{13, 2, -8, -10}, {51, 10, -30, -40}}
{{13, 2, -8, -10}, {75, 12, -46, -58}}
{{13, 2, 8, -10}, {3, 0, 2, -2}}
{{13, 2, 8, -10}, {19, 2, 10, -16}}
{{13, 2, 8, -10}, {43, 4, 26, -34}}
{{13, 2, 8, -10}, {51, 10, 30, -40}}
{{13, 10, -8, -2}, {3, 2, -2, 0}}
{{13, 10, -8, -2}, {35, 26, -22, -8}}
{{13, 10, -8, -2}, {51, 40, -30, -10}}
{{13, 10, -8, -2}, {59, 44, -38, -10}}
{{13, 10, 8, -2}, {3, 2, 2, 0}}
{{13, 10, 8, -2}, {19, 16, 10, -2}}
{{13, 10, 8, -2}, {27, 20, 18, -2}}
{{13, 10, 8, -2}, {35, 26, 22, -8}}
{{17, -12, -12, 0}, {3, -2, -2, 0}}
{{17, -12, -12, 0}, {27, -20, -18, -2}}
{{17, -12, -12, 0}, {51, -38, -34, 0}}
{{17, -12, -12, 0}, {75, -52, -54, -2}}
{{17, -12, 12, 0}, {27, -20, 18, -2}}
{{17, -12, 12, 0}, {51, -34, 38, 0}}
{{17, -12, 12, 0}, {75, -52, 54, -2}}
{{17, -12, 12, 0}, {99, -70, 70, 0}}
{{17, 12, -12, 0}, {3, 2, -2, 0}}
{{17, 12, -12, 0}, {27, 20, -18, -2}}
{{17, 12, -12, 0}, {51, 38, -34, 0}}
{{17, 12, -12, 0}, {75, 52, -54, -2}}
{{17, 12, 12, 0}, {27, 20, 18, -2}}
{{17, 12, 12, 0}, {51, 34, 38, 0}}
{{17, 12, 12, 0}, {75, 52, 54, -2}}
{{17, 12, 12, 0}, {99, 70, 70, 0}}
{{19, -18, -6, 0}, {33, -32, -8, 0}}
{{19, -18, -6, 0}, {45, -42, -16, -2}}
{{19, -18, -6, 0}, {69, -66, -20, -2}}
{{19, -18, -6, 0}, {105, -100, -32, 0}}
{{19, -18, 6, 0}, {9, -8, 4, 0}}
{{19, -18, 6, 0}, {45, -42, 16, -2}}
{{19, -18, 6, 0}, {69, -66, 20, -2}}
{{19, -18, 6, 0}, {81, -76, 28, 0}}
{{19, -16, -10, -2}, {9, -8, -4, 0}}
{{19, -16, -10, -2}, {65, -56, -32, -8}}
{{19, -16, -10, -2}, {69, -58, -36, -10}}
{{19, -16, -10, -2}, {101, -86, -52, -10}}
{{19, -16, 10, -2}, {9, -8, 4, 0}}
{{19, -16, 10, -2}, {13, -10, 8, -2}}
{{19, -16, 10, -2}, {45, -38, 24, -2}}
{{19, -16, 10, -2}, {65, -56, 32, -8}}
{{19, -10, -14, -8}, {5, -2, -4, -2}}
{{19, -10, -14, -8}, {33, -16, -24, -16}}
{{19, -10, -14, -8}, {41, -20, -32, -16}}
{{19, -10, -14, -8}, {45, -26, -32, -18}}
{{19, -10, 14, -8}, {5, -2, 4, -2}}
{{19, -10, 14, -8}, {45, -26, 32, -18}}
{{19, -10, 14, -8}, {73, -40, 52, -32}}
{{19, -10, 14, -8}, {81, -44, 60, -32}}
{{19, -8, -14, -10}, {33, -16, -24, -16}}
{{19, -8, -14, -10}, {45, -18, -32, -26}}
{{19, -8, -14, -10}, {73, -32, -52, -40}}
{{19, -8, -14, -10}, {109, -46, -80, -58}}
{{19, -8, 14, -10}, {5, -2, 4, -2}}
{{19, -8, 14, -10}, {33, -16, 24, -16}}
{{19, -8, 14, -10}, {69, -30, 52, -34}}
{{19, -8, 14, -10}, {73, -32, 52, -40}}
{{19, -6, -18, 0}, {21, -6, -20, -2}}
{{19, -6, -18, 0}, {81, -28, -76, 0}}
{{19, -6, -18, 0}, {93, -30, -88, -2}}
{{19, -6, -18, 0}, {105, -32, -100, 0}}
{{19, -6, 18, 0}, {9, -4, 8, 0}}
{{19, -6, 18, 0}, {21, -6, 20, -2}}
{{19, -6, 18, 0}, {33, -8, 32, 0}}
{{19, -6, 18, 0}, {93, -30, 88, -2}}
{{19, -2, -10, -16}, {9, 0, -4, -8}}
{{19, -2, -10, -16}, {13, -2, -8, -10}}
{{19, -2, -10, -16}, {49, -4, -28, -40}}
{{19, -2, -10, -16}, {69, -10, -36, -58}}
{{19, -2, 10, -16}, {13, -2, 8, -10}}
{{19, -2, 10, -16}, {65, -8, 32, -56}}
{{19, -2, 10, -16}, {69, -10, 36, -58}}
{{19, -2, 10, -16}, {105, -12, 56, -88}}
{{19, 0, -6, -18}, {9, 0, -4, -8}}
{{19, 0, -6, -18}, {33, 0, -8, -32}}
{{19, 0, -6, -18}, {45, -2, -16, -42}}
{{19, 0, -6, -18}, {45, 2, -16, -42}}
{{19, 0, 6, -18}, {9, 0, 4, -8}}
{{19, 0, 6, -18}, {33, 0, 8, -32}}
{{19, 0, 6, -18}, {69, -2, 20, -66}}
{{19, 0, 6, -18}, {69, 2, 20, -66}}
{{19, 2, -10, -16}, {9, 0, -4, -8}}
{{19, 2, -10, -16}, {13, 2, -8, -10}}
{{19, 2, -10, -16}, {49, 4, -28, -40}}
{{19, 2, -10, -16}, {69, 10, -36, -58}}
{{19, 2, 10, -16}, {13, 2, 8, -10}}
{{19, 2, 10, -16}, {65, 8, 32, -56}}
{{19, 2, 10, -16}, {69, 10, 36, -58}}
{{19, 2, 10, -16}, {105, 12, 56, -88}}
{{19, 6, -18, 0}, {21, 6, -20, -2}}
{{19, 6, -18, 0}, {81, 28, -76, 0}}
{{19, 6, -18, 0}, {93, 30, -88, -2}}
{{19, 6, -18, 0}, {105, 32, -100, 0}}
{{19, 6, 18, 0}, {9, 4, 8, 0}}
{{19, 6, 18, 0}, {21, 6, 20, -2}}
{{19, 6, 18, 0}, {33, 8, 32, 0}}
{{19, 6, 18, 0}, {93, 30, 88, -2}}
{{19, 8, -14, -10}, {33, 16, -24, -16}}
{{19, 8, -14, -10}, {45, 18, -32, -26}}
{{19, 8, -14, -10}, {73, 32, -52, -40}}
{{19, 8, -14, -10}, {109, 46, -80, -58}}
{{19, 8, 14, -10}, {5, 2, 4, -2}}
{{19, 8, 14, -10}, {33, 16, 24, -16}}
{{19, 8, 14, -10}, {69, 30, 52, -34}}
{{19, 8, 14, -10}, {73, 32, 52, -40}}
{{19, 10, -14, -8}, {5, 2, -4, -2}}
{{19, 10, -14, -8}, {33, 16, -24, -16}}
{{19, 10, -14, -8}, {41, 20, -32, -16}}
{{19, 10, -14, -8}, {45, 26, -32, -18}}
{{19, 10, 14, -8}, {5, 2, 4, -2}}
{{19, 10, 14, -8}, {45, 26, 32, -18}}
{{19, 10, 14, -8}, {73, 40, 52, -32}}
{{19, 10, 14, -8}, {81, 44, 60, -32}}
{{19, 16, -10, -2}, {9, 8, -4, 0}}
{{19, 16, -10, -2}, {65, 56, -32, -8}}
{{19, 16, -10, -2}, {69, 58, -36, -10}}
{{19, 16, -10, -2}, {101, 86, -52, -10}}
{{19, 16, 10, -2}, {9, 8, 4, 0}}
{{19, 16, 10, -2}, {13, 10, 8, -2}}
{{19, 16, 10, -2}, {45, 38, 24, -2}}
{{19, 16, 10, -2}, {65, 56, 32, -8}}
{{19, 18, -6, 0}, {33, 32, -8, 0}}
{{19, 18, -6, 0}, {45, 42, -16, -2}}
{{19, 18, -6, 0}, {69, 66, -20, -2}}
{{19, 18, -6, 0}, {105, 100, -32, 0}}
{{19, 18, 6, 0}, {9, 8, 4, 0}}
{{19, 18, 6, 0}, {45, 42, 16, -2}}
{{19, 18, 6, 0}, {69, 66, 20, -2}}
{{19, 18, 6, 0}, {81, 76, 28, 0}}
{{21, -6, -20, -2}, {11, -4, -10, -2}}
{{21, -6, -20, -2}, {19, -6, -18, 0}}
{{21, -6, -20, -2}, {35, -8, -34, -2}}
{{21, -6, -20, -2}, {99, -30, -94, -8}}
{{21, -6, 20, -2}, {19, -6, 18, 0}}
{{21, -6, 20, -2}, {91, -28, 86, -10}}
{{21, -6, 20, -2}, {99, -30, 94, -8}}
{{21, -6, 20, -2}, {115, -32, 110, -10}}
{{21, 6, -20, -2}, {11, 4, -10, -2}}
{{21, 6, -20, -2}, {19, 6, -18, 0}}
{{21, 6, -20, -2}, {35, 8, -34, -2}}
{{21, 6, -20, -2}, {99, 30, -94, -8}}
{{21, 6, 20, -2}, {19, 6, 18, 0}}
{{21, 6, 20, -2}, {91, 28, 86, -10}}
{{21, 6, 20, -2}, {99, 30, 94, -8}}
{{21, 6, 20, -2}, {115, 32, 110, -10}}
{{27, -20, -18, -2}, {17, -12, -12, 0}}
{{27, -20, -18, -2}, {101, -74, -68, -10}}
{{27, -20, -18, -2}, {105, -76, -72, -8}}
{{27, -20, -18, -2}, {149, -110, -100, -10}}
{{27, -20, 18, -2}, {13, -10, 8, -2}}
{{27, -20, 18, -2}, {17, -12, 12, 0}}
{{27, -20, 18, -2}, {61, -46, 40, -2}}
{{27, -20, 18, -2}, {105, -76, 72, -8}}
{{27, -12, -22, -10}, {41, -20, -32, -16}}
{{27, -12, -22, -10}, {77, -34, -64, -26}}
{{27, -12, -22, -10}, {113, -52, -92, -40}}
{{27, -12, -22, -10}, {157, -70, -128, -58}}
{{27, -12, 22, -10}, {5, -2, 4, -2}}
{{27, -12, 22, -10}, {41, -20, 32, -16}}
{{27, -12, 22, -10}, {85, -38, 68, -34}}
{{27, -12, 22, -10}, {113, -52, 92, -40}}
{{27, 12, -22, -10}, {41, 20, -32, -16}}
{{27, 12, -22, -10}, {77, 34, -64, -26}}
{{27, 12, -22, -10}, {113, 52, -92, -40}}
{{27, 12, -22, -10}, {157, 70, -128, -58}}
{{27, 12, 22, -10}, {5, 2, 4, -2}}
{{27, 12, 22, -10}, {41, 20, 32, -16}}
{{27, 12, 22, -10}, {85, 38, 68, -34}}
{{27, 12, 22, -10}, {113, 52, 92, -40}}
{{27, 20, -18, -2}, {17, 12, -12, 0}}
{{27, 20, -18, -2}, {101, 74, -68, -10}}
{{27, 20, -18, -2}, {105, 76, -72, -8}}
{{27, 20, -18, -2}, {149, 110, -100, -10}}
{{27, 20, 18, -2}, {13, 10, 8, -2}}
{{27, 20, 18, -2}, {17, 12, 12, 0}}
{{27, 20, 18, -2}, {61, 46, 40, -2}}
{{27, 20, 18, -2}, {105, 76, 72, -8}}
{{33, -32, -8, 0}, {19, -18, -6, 0}}
{{33, -32, 8, 0}, {83, -80, 22, -2}}
{{33, -16, -24, -16}, {19, -10, -14, -8}}
{{33, -16, -24, -16}, {19, -8, -14, -10}}
{{33, -16, -24, -16}, {83, -38, -62, -40}}
{{33, -16, -24, -16}, {115, -56, -82, -58}}
{{33, -16, 24, -16}, {19, -8, 14, -10}}
{{33, -16, 24, -16}, {115, -58, 82, -56}}
{{33, -16, 24, -16}, {115, -56, 82, -58}}
{{33, -16, 24, -16}, {179, -86, 130, -88}}
{{33, -8, -32, 0}, {35, -8, -34, -2}}
{{33, -8, -32, 0}, {147, -38, -142, 0}}
{{33, -8, -32, 0}, {163, -40, -158, -2}}
{{33, -8, -32, 0}, {179, -42, -174, 0}}
{{33, -8, 32, 0}, {19, -6, 18, 0}}
{{33, -8, 32, 0}, {35, -8, 34, -2}}
{{33, -8, 32, 0}, {51, -10, 50, 0}}
{{33, -8, 32, 0}, {163, -40, 158, -2}}
{{33, 0, -8, -32}, {19, 0, -6, -18}}
{{33, 0, -8, -32}, {51, 0, -10, -50}}
{{33, 0, -8, -32}, {83, -2, -22, -80}}
{{33, 0, -8, -32}, {83, 2, -22, -80}}
{{33, 0, 8, -32}, {19, 0, 6, -18}}
{{33, 0, 8, -32}, {51, 0, 10, -50}}
{{33, 0, 8, -32}, {115, -2, 26, -112}}
{{33, 0, 8, -32}, {115, 2, 26, -112}}
{{33, 8, -32, 0}, {35, 8, -34, -2}}
{{33, 8, -32, 0}, {147, 38, -142, 0}}
{{33, 8, -32, 0}, {163, 40, -158, -2}}
{{33, 8, -32, 0}, {179, 42, -174, 0}}
{{33, 8, 32, 0}, {19, 6, 18, 0}}
{{33, 8, 32, 0}, {35, 8, 34, -2}}
{{33, 8, 32, 0}, {51, 10, 50, 0}}
{{33, 8, 32, 0}, {163, 40, 158, -2}}
{{33, 16, -24, -16}, {19, 8, -14, -10}}
{{33, 16, -24, -16}, {19, 10, -14, -8}}
{{33, 16, -24, -16}, {83, 38, -62, -40}}
{{33, 16, -24, -16}, {115, 56, -82, -58}}
{{33, 16, 24, -16}, {19, 8, 14, -10}}
{{33, 16, 24, -16}, {115, 56, 82, -58}}
{{33, 16, 24, -16}, {115, 58, 82, -56}}
{{33, 16, 24, -16}, {179, 86, 130, -88}}
{{33, 32, -8, 0}, {19, 18, -6, 0}}
{{33, 32, 8, 0}, {83, 80, 22, -2}}
{{35, -32, -14, -2}, {9, -8, -4, 0}}
{{35, -32, -14, -2}, {45, -42, -16, -2}}
{{35, -32, -14, -2}, {77, -70, -32, -2}}
{{35, -32, -14, -2}, {97, -88, -40, -8}}
{{35, -32, 14, -2}, {9, -8, 4, 0}}
{{35, -32, 14, -2}, {97, -88, 40, -8}}
{{35, -32, 14, -2}, {133, -122, 52, -10}}
{{35, -32, 14, -2}, {165, -150, 68, -10}}
{{35, -30, -18, 0}, {9, -8, -4, 0}}
{{35, -30, -18, 0}, {45, -38, -24, -2}}
{{35, -30, -18, 0}, {81, -68, -44, 0}}
{{35, -30, -18, 0}, {165, -142, -84, -2}}
{{35, -30, 18, 0}, {45, -38, 24, -2}}
{{35, -30, 18, 0}, {129, -112, 64, 0}}
{{35, -30, 18, 0}, {165, -142, 84, -2}}
{{35, -30, 18, 0}, {201, -172, 104, 0}}
{{35, -26, -22, -8}, {13, -10, -8, -2}}
{{35, -26, -22, -8}, {69, -50, -44, -18}}
{{35, -26, -22, -8}, {129, -96, -80, -32}}
{{35, -26, -22, -8}, {137, -100, -88, -32}}
{{35, -26, 22, -8}, {13, -10, 8, -2}}
{{35, -26, 22, -8}, {69, -50, 44, -18}}
{{35, -26, 22, -8}, {73, -56, 44, -16}}
{{35, -26, 22, -8}, {81, -60, 52, -16}}
{{35, -18, -30, 0}, {9, -4, -8, 0}}
{{35, -18, -30, 0}, {69, -34, -60, -2}}
{{35, -18, -30, 0}, {129, -64, -112, 0}}
{{35, -18, -30, 0}, {141, -74, -120, -2}}
{{35, -18, 30, 0}, {69, -34, 60, -2}}
{{35, -18, 30, 0}, {81, -44, 68, 0}}
{{35, -18, 30, 0}, {141, -74, 120, -2}}
{{35, -18, 30, 0}, {201, -104, 172, 0}}
{{35, -8, -34, -2}, {21, -6, -20, -2}}
{{35, -8, -34, -2}, {33, -8, -32, 0}}
{{35, -8, -34, -2}, {53, -10, -52, -2}}
{{35, -8, -34, -2}, {169, -40, -164, -8}}
{{35, -8, -22, -26}, {13, -2, -8, -10}}
{{35, -8, -22, -26}, {73, -16, -44, -56}}
{{35, -8, -22, -26}, {129, -32, -80, -96}}
{{35, -8, -22, -26}, {141, -30, -88, -106}}
{{35, -8, 22, -26}, {69, -18, 44, -50}}
{{35, -8, 22, -26}, {73, -16, 44, -56}}
{{35, -8, 22, -26}, {129, -32, 80, -96}}
{{35, -8, 22, -26}, {197, -46, 124, -146}}
{{35, -8, 34, -2}, {33, -8, 32, 0}}
{{35, -8, 34, -2}, {157, -38, 152, -10}}
{{35, -8, 34, -2}, {169, -40, 164, -8}}
{{35, -8, 34, -2}, {189, -42, 184, -10}}
{{35, -2, -14, -32}, {45, -2, -16, -42}}
{{35, -2, -14, -32}, {97, -8, -40, -88}}
{{35, -2, -14, -32}, {133, -10, -52, -122}}
{{35, -2, -14, -32}, {201, -12, -80, -184}}
{{35, -2, 14, -32}, {9, 0, 4, -8}}
{{35, -2, 14, -32}, {45, -2, 16, -42}}
{{35, -2, 14, -32}, {113, -4, 44, -104}}
{{35, -2, 14, -32}, {133, -10, 52, -122}}
{{35, 2, -14, -32}, {45, 2, -16, -42}}
{{35, 2, -14, -32}, {97, 8, -40, -88}}
{{35, 2, -14, -32}, {133, 10, -52, -122}}
{{35, 2, -14, -32}, {201, 12, -80, -184}}
{{35, 2, 14, -32}, {9, 0, 4, -8}}
{{35, 2, 14, -32}, {45, 2, 16, -42}}
{{35, 2, 14, -32}, {113, 4, 44, -104}}
{{35, 2, 14, -32}, {133, 10, 52, -122}}
{{35, 8, -34, -2}, {21, 6, -20, -2}}
{{35, 8, -34, -2}, {33, 8, -32, 0}}
{{35, 8, -34, -2}, {53, 10, -52, -2}}
{{35, 8, -34, -2}, {169, 40, -164, -8}}
{{35, 8, -22, -26}, {13, 2, -8, -10}}
{{35, 8, -22, -26}, {73, 16, -44, -56}}
{{35, 8, -22, -26}, {129, 32, -80, -96}}
{{35, 8, -22, -26}, {141, 30, -88, -106}}
{{35, 8, 22, -26}, {69, 18, 44, -50}}
{{35, 8, 22, -26}, {73, 16, 44, -56}}
{{35, 8, 22, -26}, {129, 32, 80, -96}}
{{35, 8, 22, -26}, {197, 46, 124, -146}}
{{35, 8, 34, -2}, {33, 8, 32, 0}}
{{35, 8, 34, -2}, {157, 38, 152, -10}}
{{35, 8, 34, -2}, {169, 40, 164, -8}}
{{35, 8, 34, -2}, {189, 42, 184, -10}}
{{35, 18, -30, 0}, {9, 4, -8, 0}}
{{35, 18, -30, 0}, {69, 34, -60, -2}}
{{35, 18, -30, 0}, {129, 64, -112, 0}}
{{35, 18, -30, 0}, {141, 74, -120, -2}}
{{35, 18, 30, 0}, {69, 34, 60, -2}}
{{35, 18, 30, 0}, {81, 44, 68, 0}}
{{35, 18, 30, 0}, {141, 74, 120, -2}}
{{35, 18, 30, 0}, {201, 104, 172, 0}}
{{35, 26, -22, -8}, {13, 10, -8, -2}}
{{35, 26, -22, -8}, {69, 50, -44, -18}}
{{35, 26, -22, -8}, {129, 96, -80, -32}}
{{35, 26, -22, -8}, {137, 100, -88, -32}}
{{35, 26, 22, -8}, {13, 10, 8, -2}}
{{35, 26, 22, -8}, {69, 50, 44, -18}}
{{35, 26, 22, -8}, {73, 56, 44, -16}}
{{35, 26, 22, -8}, {81, 60, 52, -16}}
{{35, 30, -18, 0}, {9, 8, -4, 0}}
{{35, 30, -18, 0}, {45, 38, -24, -2}}
{{35, 30, -18, 0}, {81, 68, -44, 0}}
{{35, 30, -18, 0}, {165, 142, -84, -2}}
{{35, 30, 18, 0}, {45, 38, 24, -2}}
{{35, 30, 18, 0}, {129, 112, 64, 0}}
{{35, 30, 18, 0}, {165, 142, 84, -2}}
{{35, 30, 18, 0}, {201, 172, 104, 0}}
{{35, 32, -14, -2}, {9, 8, -4, 0}}
{{35, 32, -14, -2}, {45, 42, -16, -2}}
{{35, 32, -14, -2}, {77, 70, -32, -2}}
{{35, 32, -14, -2}, {97, 88, -40, -8}}
{{35, 32, 14, -2}, {9, 8, 4, 0}}
{{35, 32, 14, -2}, {97, 88, 40, -8}}
{{35, 32, 14, -2}, {133, 122, 52, -10}}
{{35, 32, 14, -2}, {165, 150, 68, -10}}
{{41, -20, -32, -16}, {19, -10, -14, -8}}
{{41, -20, -32, -16}, {27, -12, -22, -10}}
{{41, -20, -32, -16}, {99, -46, -78, -40}}
{{41, -20, -32, -16}, {155, -76, -122, -58}}
{{41, -20, 32, -16}, {27, -12, 22, -10}}
{{41, -20, 32, -16}, {147, -74, 114, -56}}
{{41, -20, 32, -16}, {155, -76, 122, -58}}
{{41, -20, 32, -16}, {227, -110, 178, -88}}
{{41, 20, -32, -16}, {19, 10, -14, -8}}
{{41, 20, -32, -16}, {27, 12, -22, -10}}
{{41, 20, -32, -16}, {99, 46, -78, -40}}
{{41, 20, -32, -16}, {155, 76, -122, -58}}
{{41, 20, 32, -16}, {27, 12, 22, -10}}
{{41, 20, 32, -16}, {147, 74, 114, -56}}
{{41, 20, 32, -16}, {155, 76, 122, -58}}
{{41, 20, 32, -16}, {227, 110, 178, -88}}
{{43, -20, -38, -2}, {9, -4, -8, 0}}
{{43, -20, -38, -2}, {113, -52, -100, -8}}
{{43, -20, -38, -2}, {173, -82, -152, -10}}
{{43, -20, -38, -2}, {189, -86, -168, -10}}
{{43, -20, 38, -2}, {9, -4, 8, 0}}
{{43, -20, 38, -2}, {69, -34, 60, -2}}
{{43, -20, 38, -2}, {85, -38, 76, -2}}
{{43, -20, 38, -2}, {113, -52, 100, -8}}
{{43, -4, -26, -34}, {49, -4, -28, -40}}
{{43, -4, -26, -34}, {165, -18, -100, -130}}
{{43, -4, -26, -34}, {201, -20, -120, -160}}
{{43, -4, -26, -34}, {245, -22, -148, -194}}
{{43, -4, 26, -34}, {13, -2, 8, -10}}
{{43, -4, 26, -34}, {49, -4, 28, -40}}
{{43, -4, 26, -34}, {93, -6, 56, -74}}
{{43, -4, 26, -34}, {201, -20, 120, -160}}
{{43, 4, -26, -34}, {49, 4, -28, -40}}
{{43, 4, -26, -34}, {165, 18, -100, -130}}
{{43, 4, -26, -34}, {201, 20, -120, -160}}
{{43, 4, -26, -34}, {245, 22, -148, -194}}
{{43, 4, 26, -34}, {13, 2, 8, -10}}
{{43, 4, 26, -34}, {49, 4, 28, -40}}
{{43, 4, 26, -34}, {93, 6, 56, -74}}
{{43, 4, 26, -34}, {201, 20, 120, -160}}
{{43, 20, -38, -2}, {9, 4, -8, 0}}
{{43, 20, -38, -2}, {113, 52, -100, -8}}
{{43, 20, -38, -2}, {173, 82, -152, -10}}
